date,open,high,low,close,volume,Name
4/22/2016,60.68,61.86,60.68,61.22,1671813,TEL
4/25/2016,61,61.21,60.12,60.19,1601230,TEL
4/26/2016,60.49,60.94,60.41,60.81,1874931,TEL
4/27/2016,60.57,61.17,60.45,60.95,1486312,TEL
4/28/2016,60.47,60.86,59.97,60.12,1395502,TEL
4/29/2016,60,60,58.96,59.48,1587492,TEL
5/2/2016,59.47,59.89,59.07,59.8,1251343,TEL
5/3/2016,59.49,60.13,59.12,59.75,2186670,TEL
5/4/2016,59.43,60.03,59,59.34,3433777,TEL
5/5/2016,59.42,59.85,58.98,59.39,1676340,TEL
5/6/2016,59.02,59.48,58.64,59.33,1969868,TEL
5/9/2016,58.43,59.44,58.43,58.94,1523774,TEL
5/10/2016,59.22,59.705,58.965,59.4,1509199,TEL
5/11/2016,59.13,59.62,58.91,58.96,1000819,TEL
5/12/2016,59.25,59.27,58.29,58.72,1669648,TEL
5/13/2016,58.61,59.09,57.7,57.74,1330207,TEL
5/16/2016,57.67,58.73,57.52,58.38,1495596,TEL
5/17/2016,58.28,58.66,57.9,58.29,1931494,TEL
5/18/2016,58.19,58.77,57.83,58.2,1210938,TEL
5/19/2016,57.84,58.32,57.44,57.75,1395906,TEL
5/20/2016,57.94,58.34,57.68,57.83,2110853,TEL
5/23/2016,57.99,58.02,57.59,57.92,1633567,TEL
5/24/2016,58.18,59.14,57.8,59.06,1535970,TEL
5/25/2016,58.82,59.175,58.45,59.03,1399671,TEL
5/26/2016,58.96,59.3099,58.7201,59.16,1194503,TEL
5/27/2016,59.35,59.65,58.97,59.64,964764,TEL
5/31/2016,59.57,60.09,59.46,60,2299908,TEL
6/1/2016,59.75,60.17,58.83,59.61,2448192,TEL
6/2/2016,59.56,60.22,59.56,60.17,1184075,TEL
6/3/2016,59.96,60.38,59.585,60.26,1430354,TEL
6/6/2016,60.5,61.04,60.11,60.94,1485853,TEL
6/7/2016,61.09,62.17,61,62.07,2292319,TEL
6/8/2016,62.04,62.6,61.78,62.47,1678923,TEL
6/9/2016,62.2,62.62,61.99,62.27,1324396,TEL
6/10/2016,61.68,61.84,61.17,61.37,1133969,TEL
6/13/2016,61.26,61.54,60.51,60.53,1260084,TEL
6/14/2016,60.28,60.67,60.125,60.4,1184602,TEL
6/15/2016,60.55,60.74,60.1,60.14,1188878,TEL
6/16/2016,59.72,60.39,59.37,60.28,1251427,TEL
6/17/2016,60.35,60.72,60.03,60.62,3253531,TEL
6/20/2016,61.44,62.22,61.3,61.49,1326992,TEL
6/21/2016,61.58,61.83,61.25,61.77,1374193,TEL
6/22/2016,61.71,62.33,61.52,61.94,1300683,TEL
6/23/2016,62.61,63,62.2965,63,1056988,TEL
6/24/2016,59.96,60.71,57.27,57.32,4832131,TEL
6/27/2016,56.67,56.74,54.54,54.83,3375149,TEL
6/28/2016,55.45,55.68,54.89,55.31,2071540,TEL
6/29/2016,55.8,56.4,55.33,56.09,2040370,TEL
6/30/2016,56.2,57.11,55.9,57.11,2122013,TEL
7/1/2016,57.11,57.51,56.76,56.82,1631648,TEL
7/5/2016,56.42,56.49,55.4568,55.75,1551088,TEL
7/6/2016,55.47,55.72,54.78,55.52,1641480,TEL
7/7/2016,55.6,56.64,55.6,56.42,1490706,TEL
7/8/2016,56.68,57.75,56.53,57.53,1496000,TEL
7/11/2016,57.83,58.41,57.63,58.21,1242479,TEL
7/12/2016,58.56,59.36,58.48,59.19,1389721,TEL
7/13/2016,59.37,59.41,58.75,59,1707002,TEL
7/14/2016,59.61,59.79,59.16,59.58,1598933,TEL
7/15/2016,60.05,60.16,59.57,60.06,1294215,TEL
7/18/2016,59.84,60.37,59.66,59.71,1691205,TEL
7/19/2016,59.64,59.98,59.34,59.59,2226749,TEL
7/20/2016,59.03,62.14,59.03,61.87,2489324,TEL
7/21/2016,61.71,62.17,61.24,61.54,1916995,TEL
7/22/2016,61.51,61.649,61.03,61.27,1584085,TEL
7/25/2016,61.29,61.62,61.17,61.33,1465388,TEL
7/26/2016,61.44,61.7,61.07,61.41,1493985,TEL
7/27/2016,61.68,61.96,61.06,61.29,1205825,TEL
7/28/2016,61.15,61.32,60.28,60.55,1255076,TEL
7/29/2016,60.56,60.76,60,60.28,2034870,TEL
8/1/2016,60.36,60.645,60.02,60.12,1161918,TEL
8/2/2016,60.03,60.11,57.85,58.05,2210919,TEL
8/3/2016,58.14,58.56,58.06,58.3,1789511,TEL
8/4/2016,58.33,58.5699,58,58.13,988242,TEL
8/5/2016,58.49,59.05,58.33,58.98,1693420,TEL
8/8/2016,59.21,59.51,58.91,59.14,978557,TEL
8/9/2016,59.25,59.52,59.04,59.46,1353895,TEL
8/10/2016,59.6,59.83,59.374,59.73,1518844,TEL
8/11/2016,59.85,60.285,59.73,60.07,1493302,TEL
8/12/2016,60.02,60.15,59.62,59.99,778935,TEL
8/15/2016,60.08,61.46,60.08,61.21,1197690,TEL
8/16/2016,61.22,61.22,60.6,60.71,1161872,TEL
8/17/2016,60.83,61.56,60.52,61.43,1465603,TEL
8/18/2016,61.43,61.84,61.22,61.82,1481316,TEL
8/19/2016,61.55,62.91,61.462,62.86,2042330,TEL
8/22/2016,62.49,62.93,62.23,62.9,1934846,TEL
8/23/2016,63.2,63.5,63.1,63.29,1629490,TEL
8/24/2016,62.96,63.39,62.91,63.1,2296966,TEL
8/25/2016,62.93,63.41,62.7501,63.33,1663827,TEL
8/26/2016,63.5,64.15,63.28,63.54,1644490,TEL
8/29/2016,63.46,63.9,63.25,63.4,1193760,TEL
8/30/2016,63.49,64.02,63.3,63.44,1713255,TEL
8/31/2016,63.36,63.64,63.181,63.57,1768084,TEL
9/1/2016,63.28,63.75,62.79,63.18,1242842,TEL
9/2/2016,63.5,63.75,63.28,63.64,943793,TEL
9/6/2016,63.56,63.56,62.57,62.72,1632422,TEL
9/7/2016,62.8,63.25,62.75,63.25,1429532,TEL
9/8/2016,62.99,63.05,62.67,62.77,1359372,TEL
9/9/2016,62.24,62.42,60.78,60.98,1498158,TEL
9/12/2016,60.61,61.86,60.38,61.62,1243269,TEL
9/13/2016,61.21,61.67,60.6034,60.86,1283815,TEL
9/14/2016,60.81,61.33,60.6,60.82,1258646,TEL
9/15/2016,60.81,61.995,60.77,61.89,1220758,TEL
9/16/2016,61.54,61.7,60.96,61.5,1927278,TEL
9/19/2016,61.91,62.675,61.795,62.29,1730822,TEL
9/20/2016,62.59,63.12,62.43,62.95,2476912,TEL
9/21/2016,63.3,64,62.93,63.91,1851185,TEL
9/22/2016,64.07,64.535,63.99,64.41,1944037,TEL
9/23/2016,64.17,64.21,63.8,63.88,1235641,TEL
9/26/2016,63.52,63.87,63.33,63.49,906235,TEL
9/27/2016,63.48,64.55,63.137,64.54,1179422,TEL
9/28/2016,64.69,64.86,63.94,64.31,961821,TEL
9/29/2016,63.94,64.4399,63.19,63.31,1025543,TEL
9/30/2016,63.68,64.6,63.53,64.38,1601957,TEL
10/3/2016,64.17,64.35,63.48,63.59,1173350,TEL
10/4/2016,63.67,64.46,63.39,63.75,1089207,TEL
10/5/2016,64.11,64.98,63.83,64.65,1266819,TEL
10/6/2016,64.44,64.925,63.97,64.79,1270899,TEL
10/7/2016,64.66,64.74,63.63,63.92,1285497,TEL
10/10/2016,64.24,64.63,63.73,63.76,578489,TEL
10/11/2016,63.65,63.92,62.5,62.75,1159284,TEL
10/12/2016,62.68,62.93,62.07,62.19,904349,TEL
